#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,5.1909651,0,5.17e-06,5
0,5.2046543,0,5.16e-06,5
0,5.2183436,4.69e-06,0,5
0,5.2210815,0,5.15e-06,5
0,5.2238193,4.68e-06,0,5
0,5.2265572,4.68e-06,5.13e-06,5
0,5.2511978,4.66e-06,0,5
0,5.2621492,0,5.10e-06,5
0,5.2676249,0,5.10e-06,5
0,5.284052,4.64e-06,0,5
0,5.3169062,4.62e-06,0,5
0,5.3223819,9.23e-06,0,5
0,5.3278576,4.62e-06,0,5
0,5.3305955,4.61e-06,0,5
0,5.338809,4.61e-06,0,5
0,5.3497604,0,5.24e-06,5
0,5.3524983,4.77e-06,5.24e-06,5
0,5.3552361,4.77e-06,0,5
0,5.3607118,0,5.24e-06,5
0,5.3716632,4.76e-06,0,5
0,5.3744011,4.76e-06,0,5
0,5.3826146,4.76e-06,0,5
0,5.3853525,4.76e-06,0,5
0,5.431896,4.74e-06,0,5
0,5.4346338,0,5.20e-06,5
0,5.4373717,4.74e-06,0,5
0,5.4455852,4.74e-06,0,5
0,5.4483231,4.74e-06,0,5
0,5.4537988,4.73e-06,0,5
0,5.4647502,0,5.19e-06,5
0,5.4784394,4.72e-06,0,5
0,5.4811773,4.72e-06,0,5
0,5.4839151,0,5.18e-06,5
0,5.4976044,0,5.17e-06,5
0,5.522245,4.70e-06,0,5
0,5.5249829,4.70e-06,0,5
0,5.5468857,9.36e-06,0,5
0,5.5496235,9.36e-06,0,5
0,5.5605749,4.68e-06,0,5
0,5.5852156,0,5.11e-06,5
0,5.6016427,0,5.11e-06,5
0,5.6098563,4.66e-06,0,5
0,5.615332,4.66e-06,0,5
0,5.6180698,4.66e-06,0,5
0,5.6290212,0,5.09e-06,5
0,5.6454483,0,5.08e-06,5
0,5.6536619,0,5.08e-06,5
0,5.6563997,4.64e-06,0,5
0,5.6837782,4.63e-06,0,5
0,5.6865161,0,.0000101,5
0,5.6892539,9.25e-06,0,5
0,5.6974675,0,5.06e-06,5
0,5.7111567,4.62e-06,0,5
0,5.7357974,0,5.03e-06,5
0,5.7467488,4.60e-06,0,5
0,5.7686516,0,5.01e-06,5
0,5.7823409,4.59e-06,0,5
0,5.7905544,4.59e-06,0,5
0,5.798768,4.59e-06,5.01e-06,5
0,5.8015058,4.59e-06,0,5
0,5.8042437,0,5.00e-06,5
0,5.8151951,0,5.00e-06,5
0,5.8288843,4.57e-06,4.99e-06,5
0,5.83436,0,4.99e-06,5
0,5.8398357,4.56e-06,0,5
0,5.8425736,4.56e-06,0,5
0,5.8453114,9.13e-06,0,5
0,5.853525,4.56e-06,4.98e-06,5
0,5.8590007,4.56e-06,0,5
0,5.8699521,9.11e-06,0,5
0,5.8754278,4.55e-06,0,5
0,5.8836413,4.55e-06,0,5
0,5.889117,4.55e-06,0,5
