#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
1,1.9219713,0,9.67e-06,1
1,1.9247091,0,9.65e-06,1
1,1.9466119,0,9.55e-06,1
1,1.9493498,8.32e-06,0,1
1,1.9603012,8.28e-06,0,1
1,1.963039,8.27e-06,0,1
1,1.9931554,8.20e-06,0,1
1,1.9958932,8.20e-06,0,1
1,2.0041068,8.20e-06,0,2
1,2.0068446,8.20e-06,0,2
1,2.0205339,8.19e-06,.0000187,2
1,2.0232717,0,8.88e-06,2
1,2.0287474,7.77e-06,0,2
1,2.0314853,7.76e-06,0,2
1,2.0616016,7.66e-06,0,2
1,2.0643395,7.65e-06,0,2
1,2.0698152,7.64e-06,0,2
1,2.0752909,7.63e-06,0,2
1,2.0835044,7.60e-06,8.67e-06,2
1,2.0944559,7.54e-06,0,2
1,2.0999316,0,8.58e-06,2
1,2.1519507,0,8.39e-06,2
1,2.1546886,7.35e-06,0,2
1,2.1765914,7.28e-06,0,2
1,2.1820671,.0000145,0,2
1,2.1957563,7.22e-06,0,2
1,2.2094456,0,8.17e-06,2
1,2.2176591,7.14e-06,0,2
1,2.220397,7.14e-06,0,2
1,2.2505133,7.03e-06,0,2
1,2.2614648,0,7.96e-06,2
1,2.2696783,6.99e-06,7.94e-06,2
1,2.3107461,.0000138,0,2
1,2.3162218,6.87e-06,0,2
1,2.3408624,6.81e-06,0,2
1,2.3436003,6.81e-06,0,2
1,2.3463381,6.81e-06,0,2
1,2.3682409,7.02e-06,0,2
1,2.384668,.000014,0,2
1,2.3901437,6.98e-06,0,2
1,2.4065708,6.95e-06,0,2
1,2.4147844,6.94e-06,0,2
1,2.4202601,6.93e-06,0,2
1,2.4312115,6.92e-06,0,2
1,2.4366872,6.91e-06,0,2
1,2.4421629,6.90e-06,0,2
1,2.4503765,6.89e-06,0,2
1,2.4640657,6.84e-06,0,2
1,2.4914442,6.80e-06,0,2
1,2.4969199,6.80e-06,0,2
1,2.4996578,.0000136,0,2
1,2.5023956,6.79e-06,0,2
1,2.5106092,6.77e-06,0,2
1,2.513347,6.77e-06,0,2
1,2.5160849,6.77e-06,0,2
1,2.5242984,6.73e-06,0,2
1,2.532512,6.71e-06,0,2
1,2.5379877,6.69e-06,0,2
1,2.5462012,6.68e-06,0,2
1,2.568104,6.65e-06,7.57e-06,2
1,2.587269,6.62e-06,0,2
1,2.5982204,0,7.51e-06,2
1,2.6173854,0,7.47e-06,2
1,2.6255989,6.57e-06,0,2
1,2.6310746,6.55e-06,0,2
1,2.6392882,6.54e-06,0,2
1,2.6529774,.000013,0,2
1,2.6557153,6.51e-06,0,2
1,2.6885695,.0000129,0,2
1,2.6913073,0,7.34e-06,2
1,2.696783,6.46e-06,0,2
1,2.7077344,.0000193,0,2
1,2.7214237,6.42e-06,0,2
1,2.7268994,0,7.26e-06,2
1,2.7351129,6.39e-06,0,2
1,2.7488022,0,7.22e-06,2
1,2.7570157,6.35e-06,0,2
1,2.7652293,6.34e-06,0,2
1,2.7871321,0,7.15e-06,2
1,2.7926078,.0000126,7.15e-06,2
1,2.8090349,0,7.11e-06,2
1,2.8145106,6.27e-06,0,2
1,2.8172485,6.26e-06,0,2
1,2.825462,6.25e-06,0,2
1,2.8473648,6.22e-06,0,2
1,2.8692676,.0000124,0,2
1,2.880219,.0000124,0,2
1,2.8829569,6.17e-06,6.98e-06,2
1,2.8911704,6.16e-06,0,2
1,2.9021218,0,6.95e-06,2
1,2.934976,6.09e-06,0,2
1,2.9404517,6.07e-06,0,2
1,2.9678303,6.01e-06,0,2
1,2.9842574,0,6.76e-06,2
1,2.9924709,5.98e-06,0,2
1,3.0061602,5.98e-06,0,3
1,3.0225873,5.77e-06,6.50e-06,3
1,3.0581793,0,6.43e-06,3
1,3.0691307,5.70e-06,0,3
1,3.0937714,5.65e-06,0,3
